,0
570,Exophiala alcalophila
571,Exophiala aquamarina
572,Exophiala calicioides
573,Exophiala dermatitidis
574,Exophiala mesophila
575,Exophiala oligosperma
576,Exophiala sideris
577,Exophiala spinifera
578,Exophiala xenobiotica
579,Exutisphaerella laricina
580,Falciphora oryzae
581,Fellomyces penicillatus
582,Fennellomyces sp.
583,Fibroporia radiculosa
584,Fibularhizoctonia sp.
585,Fibulobasidium inconspicuum
586,Fibulorhizoctonia sp.
587,Filobasidium wieringae
588,Fistulina hepatica
589,Flammulina velutipes
590,Fomes fomentarius
591,Fomitiporia mediterranea
592,Fomitopsis betulina
593,Fomitopsis palustris
594,Fomitopsis pinicola
595,Fonsecaea erecta
596,Fonsecaea monophora
597,Fonsecaea multimorphosa
598,Fonsecaea nubica
599,Fonsecaea pedrosoi
600,Fragosphaeria purpurea
601,Fusarium agapanthi
602,Fusarium asiaticum
603,Fusarium avenaceum
604,Fusarium azukicola
605,Fusarium brasiliense
606,Fusarium circinatum
607,Fusarium culmorum
608,Fusarium cuneirostrum
609,Fusarium equiseti
610,Fusarium euwallaceae
611,Fusarium fujikuroi
612,Fusarium graminearum
613,Fusarium hostae
614,Fusarium langsethiae
615,Fusarium mangiferae
616,Fusarium meridionale
617,Fusarium nygamai
618,Fusarium oxysporum
619,Fusarium phaseoli
620,Fusarium pininemorale
621,Fusarium poae
622,Fusarium praegraminearum
623,Fusarium proliferatum
624,Fusarium pseudograminearum
625,Fusarium redolens
626,Fusarium sambucinum
627,Fusarium solani
628,Fusarium sp.
629,Fusarium temperatum
630,Fusarium tucumaniae
631,Fusarium udum
632,Fusarium verticillioides
633,Fusarium virguliforme
634,Gaertneriomyces semiglobifer
635,Gaeumannomyces graminis
636,Gaeumannomyces sp.
637,Gaeumannomyces tritici
638,Galactomyces candidum
639,Galerina marginata
640,Ganoderma boninense
641,Ganoderma lucidum
642,Ganoderma sinense
643,Ganoderma sp.
644,Gautieria morchelliformis
645,Gelasinospora tetrasperma
646,Gelatoporia subvermispora
647,Geosmithia flava
